pkg_idx,verId:START_ID(Version),pkgId:END_ID(Package),source_name,target_name,source_version,target_version,kind,os_platform
198,5,195,serverfaces,security,1.3.0,^1.2.1,BUILD,
198,5,200,serverfaces,servletada,1.3.0,^1.3.0,BUILD,
198,5,225,serverfaces,utilada,1.3.0,^2.0.0,BUILD,
195,6,225,security,utilada,1.2.1,^2.0.0,BUILD,
195,6,230,security,utilada_xml,1.2.1,^2.0.0,BUILD,
199,7,195,serverfaces_unit,security,1.3.0,^1.2.1,BUILD,
199,7,198,serverfaces_unit,serverfaces,1.3.0,^1.3.0,BUILD,
199,7,200,serverfaces_unit,servletada,1.3.0,^1.3.0,BUILD,
199,7,225,serverfaces_unit,utilada,1.3.0,^2.0.0,BUILD,
202,8,200,servletada_unit,servletada,1.3.0,^1.3.0,BUILD,
202,8,225,servletada_unit,utilada,1.3.0,^2.0.0,BUILD,
202,8,229,servletada_unit,utilada_unit,1.3.0,^2.0.0,BUILD,
200,9,195,servletada,security,1.3.0,^1.2.1,BUILD,
200,9,225,servletada,utilada,1.3.0,^2.0.0,BUILD,
197,10,43,septum,dir_iterators,0.0.2,~0.0.3,BUILD,
197,10,180,septum,progress_indicators,0.0.2,~0.0.1,BUILD,
197,10,220,septum,trendy_terminal,0.0.2,~0.0.2,BUILD,
197,10,23,septum,atomic,0.0.2,~0.3.0,BUILD,
197,11,43,septum,dir_iterators,0.0.3,~0.0.3,BUILD,
197,11,180,septum,progress_indicators,0.0.3,~0.0.1,BUILD,
197,11,220,septum,trendy_terminal,0.0.3,~0.0.2,BUILD,
197,11,23,septum,atomic,0.0.3,~0.3.0,BUILD,
197,12,43,septum,dir_iterators,0.0.4,~0.0.3,BUILD,
197,12,180,septum,progress_indicators,0.0.4,~0.0.1,BUILD,
197,12,220,septum,trendy_terminal,0.0.4,~0.0.4,BUILD,
197,12,23,septum,atomic,0.0.4,~0.3.0,BUILD,
201,13,200,servletada_aws,servletada,1.3.0,^1.3.0,BUILD,
201,13,226,servletada_aws,utilada_aws,1.3.0,^2.0.0,BUILD,
213,20,79,spawn_glib,gtkada,1.0.0,^19,BUILD,
211,22,204,spat,si_units,1.3.0,~0.2,BUILD,
211,23,204,spat,si_units,1.0.0,^0.1.0,BUILD,
211,24,204,spat,si_units,1.2.1,^0.1.0,BUILD,
194,32,120,sdlada,libsdl2,2.5.4-1,^2.0,BUILD,
194,32,121,sdlada,libsdl2_image,2.5.4-1,^2.0,BUILD,
194,32,122,sdlada,libsdl2_ttf,2.5.4-1,^2.0,BUILD,
194,32,135,sdlada,make,2.5.4-1,*,BUILD,
194,33,120,sdlada,libsdl2,2.3.1,^2.0,BUILD,
