ID,Name,PackageManager,Platform,Description,HomepageURL,SourceCodeURL,Maintainer,License,Author
1,aaf,Conan,C/C++,A cross-platform SDK for AAF. AAF is a metadata management system and file format for use in professional multimedia creation and authoring.,https://github.com/conan-io/conan-center-index,,,AAFSDKPSL-2.0,
2,abseil,Conan,C/C++,Abseil Common Libraries (C++) from Google,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
2,abseil,Conan,C/C++,Abseil Common Libraries (C++) from Google,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
3,absent,Conan,C/C++,"A small C++17 library meant to simplify the composition of nullable types in a generic, type-safe, and declarative way",https://github.com/conan-io/conan-center-index,,,MIT,
3,absent,Conan,C/C++,"A small C++17 library meant to simplify the composition of nullable types in a generic, type-safe, and declarative way",https://github.com/conan-io/conan-center-index,,,MIT,
4,acado,Conan,C/C++,ACADO Toolkit is a software environment and algorithm collection for automatic control and dynamic optimization.,https://github.com/conan-io/conan-center-index,,,LGPL-3.0,
5,access_private,Conan,C/C++,Access private members and statics of a C++ class,https://github.com/conan-io/conan-center-index,,,MIT,
6,acl,Conan,C/C++,Commands for Manipulating POSIX Access Control Lists,https://github.com/conan-io/conan-center-index,,,GPL-2.0-or-later,
7,ade,Conan,C/C++,"Graph construction, manipulation, and processing framework",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
8,aeron,Conan,C/C++,"Efficient reliable UDP unicast, UDP multicast, and IPC message transport",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
8,aeron,Conan,C/C++,"Efficient reliable UDP unicast, UDP multicast, and IPC message transport",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
10,alac,Conan,C/C++,The Apple Lossless Audio Codec (ALAC) is a lossless audio codec developed by Apple and deployed on all of its platforms and devices.,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
11,alembic,Conan,C/C++,Open framework for storing and sharing scene data.,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
12,amgcl,Conan,C/C++,AMGCL is a header-only C++ library for solving large sparse linear systems with algebraic multigrid (AMG) method.,https://github.com/conan-io/conan-center-index,,,MIT,
13,amqp-cpp,Conan,C/C++,C++ library for asynchronous non-blocking communication with RabbitMQ,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
13,amqp-cpp,Conan,C/C++,C++ library for asynchronous non-blocking communication with RabbitMQ,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
13,amqp-cpp,Conan,C/C++,C++ library for asynchronous non-blocking communication with RabbitMQ,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
14,andreasbuhr-cppcoro,Conan,C/C++,A library of C++ coroutine abstractions for the coroutines TS,https://github.com/conan-io/conan-center-index,,,MIT,
15,android-ndk,Conan,C/C++,"The Android NDK is a toolset that lets you implement parts of your app in native code, using languages such as C and C++",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
15,android-ndk,Conan,C/C++,"The Android NDK is a toolset that lets you implement parts of your app in native code, using languages such as C and C++",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
16,angelscript,Conan,C/C++,An extremely flexible cross-platform scripting library designed to allow applications to extend their functionality through external scripts.,https://github.com/conan-io/conan-center-index,,,Zlib,
17,any-lite,Conan,C/C++,"any lite - A C++17-like any, a type-safe container for single values of                     any type for C++98, C++11 and later in a single-file header-only library",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
17,any-lite,Conan,C/C++,"any lite - A C++17-like any, a type-safe container for single values of                     any type for C++98, C++11 and later in a single-file header-only library",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
18,approvaltests.cpp,Conan,C/C++,Approval Tests allow you to verify a chunk of output (such as a file) in one operation as opposed to writing test assertions for each element.,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
18,approvaltests.cpp,Conan,C/C++,Approval Tests allow you to verify a chunk of output (such as a file) in one operation as opposed to writing test assertions for each element.,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
18,approvaltests.cpp,Conan,C/C++,Approval Tests allow you to verify a chunk of output (such as a file) in one operation as opposed to writing test assertions for each element.,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
19,apr,Conan,C/C++,The Apache Portable Runtime (APR) provides a predictable and consistent interface to underlying platform-specific implementations,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
20,apr-util,Conan,C/C++,The Apache Portable Runtime (APR) provides a predictable and consistent interface to underlying platform-specific implementations,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
21,apriltag,Conan,C/C++,"AprilTag is a visual fiducial system, useful for a wide variety of tasks                     including augmented reality, robotics, and camera calibration",https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
21,apriltag,Conan,C/C++,"AprilTag is a visual fiducial system, useful for a wide variety of tasks                     including augmented reality, robotics, and camera calibration",https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
22,arcus,Conan,C/C++,This library contains C++ code and Python3 bindings for creating a socket in a thread and using this socket to send and receive messages based on the Protocol Buffers library.,https://github.com/conan-io/conan-center-index,,,LGPL-3.0-or-later,
23,arduinojson,Conan,C/C++,C++ JSON library for IoT. Simple and efficient.,https://github.com/conan-io/conan-center-index,,,MIT,
24,argh,Conan,C/C++,Frustration-free command line processing,https://github.com/conan-io/conan-center-index,,,BSD-3,
25,argon2,Conan,C/C++,Argon2 password hashing library,https://github.com/conan-io/conan-center-index,,,Apache 2.0,
26,argparse,Conan,C/C++,Argument Parser for Modern C++,https://github.com/conan-io/conan-center-index,,,MIT,
27,args-parser,Conan,C/C++,Small C++ header-only library for parsing command line arguments.,https://github.com/conan-io/conan-center-index,,,MIT,
28,argtable2,Conan,C/C++,Argtable is an ANSI C library for parsing GNU style command line options with a minimum of fuss.,https://github.com/conan-io/conan-center-index,,,LGPL-2.0+,
29,argtable3,Conan,C/C++,"A single-file, ANSI C, command-line parsing library that parses GNU-style command-line options.",https://github.com/conan-io/conan-center-index,,,BSD-3-clause,
29,argtable3,Conan,C/C++,"A single-file, ANSI C, command-line parsing library that parses GNU-style command-line options.",https://github.com/conan-io/conan-center-index,,,BSD-3-clause,
31,arrow,Conan,C/C++,Apache Arrow is a cross-language development platform for in-memory data,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
32,artery-font-format,Conan,C/C++,Artery Atlas Font format library,https://github.com/conan-io/conan-center-index,,,MIT,
33,aruco,Conan,C/C++,Augmented reality library based on OpenCV ,https://github.com/conan-io/conan-center-index,,,GPL-3.0-only,
34,asio,Conan,C/C++,Asio is a cross-platform C++ library for network and low-level I/O,https://github.com/conan-io/conan-center-index,,,BSL-1.0,
34,asio,Conan,C/C++,Asio is a cross-platform C++ library for network and low-level I/O,https://github.com/conan-io/conan-center-index,,,BSL-1.0,
35,asmjit,Conan,C/C++,AsmJit is a lightweight library for machine code generation written in C++ language.,https://github.com/conan-io/conan-center-index,,,Zlib,
36,assimp,Conan,C/C++,A library to import and export various 3d-model-formats including scene-post-processing to generate missing render data.,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
37,astc-codec,Conan,C/C++," A software ASTC decoder implementation which supports the ASTC LDR profile",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
38,astro-informatics-so3,Conan,C/C++,Fast and accurate Wigner transforms,https://github.com/conan-io/conan-center-index,,,GPL-3.0-or-later,
39,asyncplusplus,Conan,C/C++,Async++ concurrency framework for C++11,https://github.com/conan-io/conan-center-index,,,MIT,
40,at-spi2-atk,Conan,C/C++,library that bridges ATK to At-Spi2 D-Bus service.,https://github.com/conan-io/conan-center-index,,,LGPL-2.1-or-later,
41,at-spi2-core,Conan,C/C++,It provides a Service Provider Interface for the Assistive Technologies available on the GNOME platform and a library against which applications can be linked,https://github.com/conan-io/conan-center-index,,,LGPL-2.1-or-later,
41,at-spi2-core,Conan,C/C++,It provides a Service Provider Interface for the Assistive Technologies available on the GNOME platform and a library against which applications can be linked,https://github.com/conan-io/conan-center-index,,,LGPL-2.1-or-later,
42,atk,Conan,C/C++,set of accessibility interfaces that are implemented by other toolkits and applications,https://github.com/conan-io/conan-center-index,,,LGPL-2.1-or-later,
43,audiofile,Conan,C/C++,A simple C++11 library for reading and writing audio files.,https://github.com/conan-io/conan-center-index,,,GPL-3.0-or-later,
44,autoconf,Conan,C/C++,Autoconf is an extensible package of M4 macros that produce shell scripts to automatically configure software source code packages,https://github.com/conan-io/conan-center-index,,,GPL-2.0-or-later,
45,autoconf-archive,Conan,C/C++,The GNU Autoconf Archive is a collection of more than 500 macros for GNU Autoconf,https://github.com/conan-io/conan-center-index,,,GPL-2.0-or-later,
46,automake,Conan,C/C++,Automake is a tool for automatically generating Makefile.in files compliant with the GNU Coding Standards.,https://github.com/conan-io/conan-center-index,,,GPL-2.0-or-later,
47,avahi,Conan,C/C++,Avahi - Service Discovery for Linux using mDNS/DNS-SD -- compatible with Bonjour,https://github.com/conan-io/conan-center-index,,,LGPL-2.1-only,
48,aws-c-auth,Conan,C/C++,C99 library implementation of AWS client-side authentication: standard credentials providers and signing.,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
49,aws-c-cal,Conan,C/C++,"Aws Crypto Abstraction Layer: Cross-Platform, C99 wrapper for cryptography primitives.",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
50,aws-c-common,Conan,C/C++,"Core c99 package for AWS SDK for C. Includes cross-platform primitives, configuration, data structures, and error handling.",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
51,aws-c-compression,Conan,C/C++,C99 implementation of huffman encoding/decoding,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
52,aws-c-event-stream,Conan,C/C++,C99 implementation of the vnd.amazon.eventstream content-type,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
53,aws-c-http,Conan,C/C++,C99 implementation of the HTTP/1.1 and HTTP/2 specifications,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
54,aws-c-io,Conan,C/C++,IO and TLS for application protocols,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
54,aws-c-io,Conan,C/C++,IO and TLS for application protocols,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
55,aws-c-mqtt,Conan,C/C++,C99 implementation of the MQTT 3.1.1 specification.,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
56,aws-c-s3,Conan,C/C++,C99 implementation of the S3 client,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
57,aws-checksums,Conan,C/C++,Cross-Platform HW accelerated CRC32c and CRC32 with fallback to efficient SW implementations. C interface with language bindings for each of our SDKs ,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
58,aws-crt-cpp,Conan,C/C++,C++ wrapper around the aws-c-* libraries. Provides Cross-Platform Transport Protocols and SSL/TLS implementations for C++.,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
59,aws-kvs-pic,Conan,C/C++,Platform Independent Code for Amazon Kinesis Video Streams,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
60,aws-libfabric,Conan,C/C++,AWS Libfabric,https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
61,aws-sdk-cpp,Conan,C/C++,AWS SDK for C++,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
62,azure-storage-cpp,Conan,C/C++,Microsoft Azure Storage Client Library for C++,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
63,b2,Conan,C/C++,"B2 makes it easy to build C++ projects, everywhere.",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
63,b2,Conan,C/C++,"B2 makes it easy to build C++ projects, everywhere.",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
64,backport-cpp,Conan,C/C++,An ongoing effort to bring modern C++ utilities to be compatible with C++11,https://github.com/conan-io/conan-center-index,,,MIT,
65,backward-cpp,Conan,C/C++,A beautiful stack trace pretty printer for C++,https://github.com/conan-io/conan-center-index,,,MIT,
66,bacnet-stack,Conan,C/C++,"
        BACnet Protocol Stack library provides a BACnet application layer,
        network layer and media access (MAC) layer communications services.",https://github.com/conan-io/conan-center-index,,,GPL-2.0-or-later,
66,bacnet-stack,Conan,C/C++,"
        BACnet Protocol Stack library provides a BACnet application layer,
        network layer and media access (MAC) layer communications services.",https://github.com/conan-io/conan-center-index,,,GPL-2.0-or-later,
67,baical-p7,Conan,C/C++,Baical P7 client,https://github.com/conan-io/conan-center-index,,,LGPL-3.0-or-later,
68,base64,Conan,C/C++,Fast Base64 stream encoder/decoder,https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
69,bazel,Conan,C/C++,"Bazel is a fast, scalable, multi-language and extensible build system.",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
70,bdwgc,Conan,C/C++,"The Boehm-Demers-Weiser conservative C/C++ Garbage Collector (libgc, bdwgc, boehm-gc)",https://github.com/conan-io/conan-center-index,,,MIT,
71,benchmark,Conan,C/C++,A microbenchmark support library.,https://github.com/conan-io/conan-center-index/,,,Apache-2.0,
71,benchmark,Conan,C/C++,A microbenchmark support library.,https://github.com/conan-io/conan-center-index/,,,Apache-2.0,
72,bertrand,Conan,C/C++,A C++ header only library providing a trivial implementation for design by contract.,https://github.com/conan-io/conan-center-index,,,LGPL-3.0-or-later,
73,bison,Conan,C/C++,Bison is a general-purpose parser generator,https://github.com/conan-io/conan-center-index,,,GPL-3.0-or-later,
73,bison,Conan,C/C++,Bison is a general-purpose parser generator,https://github.com/conan-io/conan-center-index,,,GPL-3.0-or-later,
74,bit-lite,Conan,C/C++,bit is a C++20 bit operations for C++98 and later                     in a single-file header-only library.,https://github.com/conan-io/conan-center-index,,,BSL-1.0,
75,bitmagic,Conan,C/C++,"BitMagic Library helps to develop high-throughput intelligent search systems, promote combination of hardware optimizations and on the fly compression to fit inverted indexes and binary fingerprints into memory, minimize disk and network footprint.",https://github.com/conan-io/conan-center-index,,,Apache-2.0,
76,bitserializer,Conan,C/C++,"C++ 17 library for serialization to multiple output formats (JSON, XML, YAML)",https://github.com/conan-io/conan-center-index,,,MIT,
77,bitsery,Conan,C/C++,"Header only C++ binary serialization library. It is designed around the networking requirements for real-time data delivery, especially for games.",https://github.com/conan-io/conan-center-index,,,MIT,
77,bitsery,Conan,C/C++,"Header only C++ binary serialization library. It is designed around the networking requirements for real-time data delivery, especially for games.",https://github.com/conan-io/conan-center-index,,,MIT,
78,blaze,Conan,C/C++,"open-source, high-performance C++ math library for dense and sparse arithmetic",https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
79,bliss,Conan,C/C++,bliss is an open source tool for computing automorphism groups and canonical forms of graphs. ,https://github.com/conan-io/conan-center-index,,,GPL-3-or-later,
80,boolean-lite,Conan,C/C++,boolean lite - A strong boolean type for C++98 and later in a single-file header-only library,https://github.com/conan-io/conan-center-index,,,BSL-1.0,
81,boolinq,Conan,C/C++,Super tiny C++11 single-file header-only LINQ template library,https://github.com/conan-io/conan-center-index,,,MIT,
82,boost,Conan,C/C++,Boost provides free peer-reviewed portable C++ source libraries,https://github.com/conan-io/conan-center-index,,,BSL-1.0,
82,boost,Conan,C/C++,Boost provides free peer-reviewed portable C++ source libraries,https://github.com/conan-io/conan-center-index,,,BSL-1.0,
83,boost-ext-ut,Conan,C/C++,"C++17/20 single header/single module, macro-free micro Unit Testing Framework",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
84,boostdep,Conan,C/C++,A tool to create Boost module dependency reports,https://github.com/conan-io/conan-center-index,,,BSL-1.0,
85,botan,Conan,C/C++,Botan is a cryptography library written in C++11.,https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
85,botan,Conan,C/C++,Botan is a cryptography library written in C++11.,https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
86,box2d,Conan,C/C++,Box2D is a 2D physics engine for games,https://github.com/conan-io/conan-center-index,,,Zlib,
86,box2d,Conan,C/C++,Box2D is a 2D physics engine for games,https://github.com/conan-io/conan-center-index,,,Zlib,
87,breakpad,Conan,C/C++,A set of client and server components which implement a crash-reporting system,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
88,brigand,Conan,C/C++,"A light-weight, fully functional, instant-compile time meta-programming library.",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
89,brotli,Conan,C/C++,Brotli compression format,https://github.com/conan-io/conan-center-index,,,MIT,
90,brynet,Conan,C/C++,Header Only Cross platform high performance TCP network library using C++ 11.,https://github.com/conan-io/conan-center-index,,,MIT,
91,bullet3,Conan,C/C++,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.",https://github.com/conan-io/conan-center-index,,,ZLIB,
91,bullet3,Conan,C/C++,"Bullet Physics SDK: real-time collision detection and multi-physics simulation for VR, games, visual effects, robotics, machine learning etc.",https://github.com/conan-io/conan-center-index,,,ZLIB,
92,butteraugli,Conan,C/C++,A tool for measuring perceived differences between images,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
93,bvdberg-ctest,Conan,C/C++,ctest is a unit test framework for software written in C.,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
94,bx,Conan,C/C++,Base library used across multiple projects.,https://github.com/conan-io/conan-center-index,,,BSD-2-Clause,
95,byte-lite,Conan,C/C++,"byte lite - A single-file header-only C++17-like byte type for                     C++98, C++11 and later",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
96,bzip2,Conan,C/C++,bzip2 is a free and open-source file compression program that uses the Burrows Wheeler algorithm.,https://github.com/conan-io/conan-center-index,,,bzip2-1.0.8,
97,c-ares,Conan,C/C++,A C library for asynchronous DNS requests,https://github.com/conan-io/conan-center-index,,,MIT,
98,c-blosc,Conan,C/C++,"An extremely fast, multi-threaded, meta-compressor library.",https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
99,caf,Conan,C/C++,An open source implementation of the Actor Model in C++,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
100,cairo,Conan,C/C++,Cairo is a 2D graphics library with support for multiple output devices,https://github.com/conan-io/conan-center-index,,,LGPL-2.1-only,
101,cajun-jsonapi,Conan,C/C++,CAJUN* is a C++ API for the JSON object interchange format.,https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
102,calceph,Conan,C/C++,"C Library designed to access the binary planetary ephemeris files, such INPOPxx, JPL DExxx and SPICE ephemeris files.",https://github.com/conan-io/conan-center-index,,,CECILL-C,
103,capnproto,Conan,C/C++,Cap'n Proto serialization/RPC system.,https://github.com/conan-io/conan-center-index,,,MIT,
104,capstone,Conan,C/C++,"Capstone disassembly/disassembler framework: Core (Arm, Arm64, BPF, EVM, M68K, M680X, MOS65xx, Mips, PPC, RISCV, Sparc, SystemZ, TMS320C64x, Web Assembly, X86, X86_64, XCore) + bindings.",https://github.com/conan-io/conan-center-index,,,BSD-3-Clause,
105,cargs,Conan,C/C++,"A lightweight getopt replacement that works on Linux, Windows and macOS. Command line argument parser library for C/C++. Can be used to parse argv and argc parameters.",https://github.com/conan-io/conan-center-index,,,MIT,
106,cassandra-cpp-driver,Conan,C/C++,DataStax C/C++ Driver for Apache Cassandra and DataStax Products,https://github.com/conan-io/conan-center-index,,,Apache-2.0,
107,catch2,Conan,C/C++,"A modern, C++-native, header-only, framework for unit-tests, TDD and BDD",https://github.com/conan-io/conan-center-index,,,BSL-1.0,
108,cc65,Conan,C/C++,A freeware C compiler for 6502 based systems,https://github.com/conan-io/conan-center-index,,,Zlib,
